"X"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0090596"	"GO:0090596"	"sensory organ morphogenesis"	204	0.389295514787883	1.70960373649562	2.99496863922774e-05	0.00108030054698298	0.000880504612760813	2939	"tags=40%, list=20%, signal=32%"
"GO:0030099"	"GO:0030099"	"myeloid cell differentiation"	377	-0.2900153132894	-1.51404235609798	2.97933923877672e-05	0.00108030054698298	0.000880504612760813	3439	"tags=36%, list=23%, signal=28%"
"GO:0009615"	"GO:0009615"	"response to virus"	355	-0.298842494888692	-1.54728033375988	3.0226394763362e-05	0.00108333709129578	0.00088297956408963	3513	"tags=34%, list=24%, signal=27%"
"GO:0002886"	"GO:0002886"	"regulation of myeloid leukocyte mediated immunity"	53	-0.528851782689551	-2.11064303992527	3.63080524879713e-05	0.0012917866234993	0.00105287744588337	1858	"tags=53%, list=13%, signal=46%"
"GO:0016241"	"GO:0016241"	"regulation of macroautophagy"	176	-0.359754419236873	-1.73782526271725	3.65015235714214e-05	0.0012917866234993	0.00105287744588337	3398	"tags=35%, list=23%, signal=27%"
"GO:0006892"	"GO:0006892"	"post-Golgi vesicle-mediated transport"	106	-0.415411416355554	-1.87790464880188	3.76873632686124e-05	0.00132541745695301	0.00108028843264042	2400	"tags=32%, list=16%, signal=27%"
"GO:0031663"	"GO:0031663"	"lipopolysaccharide-mediated signaling pathway"	54	-0.519959058437409	-2.09034158690689	3.9014665315429e-05	0.00136357466912993	0.00111138866805704	3442	"tags=52%, list=23%, signal=40%"
"GO:0007423"	"GO:0007423"	"sensory organ development"	439	0.322967882310305	1.52451489330876	4.15290786639645e-05	0.00144249460272919	0.00117571277283232	3164	"tags=33%, list=22%, signal=27%"
"GO:0090660"	"GO:0090660"	"cerebrospinal fluid circulation"	17	0.748150246182169	2.08547829412976	4.26601612214194e-05	0.00147269157787072	0.00120032497540668	2002	"tags=76%, list=14%, signal=66%"
"GO:0060350"	"GO:0060350"	"endochondral bone morphogenesis"	50	0.557849521295837	1.97865249843561	4.49293058291099e-05	0.00154156831646586	0.00125646332154963	2841	"tags=40%, list=19%, signal=32%"
"GO:0033108"	"GO:0033108"	"mitochondrial respiratory chain complex assembly"	93	-0.429807357841543	-1.8881750585545	4.55037644816145e-05	0.00155181625901845	0.00126481596074255	3909	"tags=42%, list=27%, signal=31%"
"GO:0055094"	"GO:0055094"	"response to lipoprotein particle"	32	-0.615232570131331	-2.16097404341041	4.62129143173265e-05	0.00156650643893733	0.00127678926874186	2700	"tags=50%, list=18%, signal=41%"
"GO:0071404"	"GO:0071404"	"cellular response to low-density lipoprotein particle stimulus"	31	-0.622575066416981	-2.17393347411782	4.84671543118389e-05	0.00162867856775431	0.00132746298760778	2700	"tags=52%, list=18%, signal=42%"
"GO:0010594"	"GO:0010594"	"regulation of endothelial cell migration"	160	-0.363773977723453	-1.72713442823038	4.8915350622086e-05	0.00162867856775431	0.00132746298760778	2147	"tags=29%, list=15%, signal=25%"
